,neighbourhood,mean_price,min_price(outlier),min_price,25th percentile,50th percentile,75 percentile,max_price,max_price(outlier)
0,Adams,80.16,25.0,25.0,59.75,77.0,105.0,150.0,200.0
1,Alki,90.79,40.0,40.0,87.25,100.0,120.25,129.0,399.0
2,Arbor Heights,69.67,54.0,54.0,54.5,55.0,77.5,100.0,100.0
3,Atlantic,79.42,35.0,35.0,64.25,70.0,90.0,125.0,125.0
4,Belltown,123.17,35.0,35.0,100.0,129.0,150.0,183.0,999.0
5,Bitter Lake,62.9,39.0,39.0,46.25,62.0,74.75,99.0,99.0
6,Briarcliff,96.5,69.0,88.0,88.0,99.0,99.0,100.0,100.0
7,Brighton,51.33,34.0,34.0,39.25,42.5,60.0,85.0,85.0
8,Broadview,72.0,39.0,39.0,43.5,71.5,89.25,125.0,125.0
9,Broadway,99.15,25.0,25.0,69.0,98.0,125.0,200.0,250.0
10,Bryant,69.62,45.0,45.0,60.0,64.0,89.0,100.0,100.0
11,Cedar Park,79.0,55.0,55.0,73.75,84.5,89.75,92.0,92.0
12,Central Business District,143.44,59.0,59.0,107.5,149.5,180.75,275.0,365.0
13,Columbia City,70.67,25.0,25.0,63.25,69.0,90.0,110.0,110.0
14,Crown Hill,59.3,28.0,28.0,41.25,55.0,68.75,100.0,100.0
15,Dunlap,60.15,36.0,36.0,42.75,55.0,85.0,100.0,150.0
16,East Queen Anne,103.9,39.0,39.0,86.0,100.0,130.0,175.0,275.0
17,Eastlake,100.64,42.0,42.0,75.0,95.0,129.0,195.0,195.0
18,Fairmount Park,88.62,65.0,65.0,75.0,81.5,109.75,125.0,370.0
19,Fauntleroy,81.67,78.0,78.0,79.0,80.0,83.5,87.0,87.0
20,First Hill,112.6,40.0,40.0,97.0,110.0,139.0,185.0,250.0
21,Fremont,88.53,35.0,35.0,65.0,88.0,115.0,185.0,232.0
22,Gatewood,87.38,45.0,45.0,75.0,82.5,117.5,150.0,195.0
23,Genesee,63.67,30.0,30.0,49.5,60.5,78.0,99.0,99.0
24,Georgetown,76.12,50.0,50.0,68.75,72.5,90.0,99.0,99.0
25,Green Lake,91.12,40.0,40.0,60.0,85.0,119.0,195.0,450.0
26,Greenwood,66.98,26.0,26.0,50.0,60.0,85.0,125.0,125.0
27,Haller Lake,75.0,36.0,36.0,59.5,70.0,87.5,125.0,125.0
28,Harrison/Denny-Blaine,110.8,62.0,62.0,79.25,96.5,131.75,210.0,210.0
29,High Point,74.83,39.0,60.0,67.5,71.0,84.25,97.0,300.0
30,Highland Park,62.5,53.0,53.0,56.5,59.0,75.0,75.0,150.0
31,Holly Park,51.67,45.0,45.0,48.75,55.0,79.5,60.0,138.0
32,Industrial District,101.67,25.0,25.0,77.5,130.0,140.0,150.0,150.0
33,Interbay,89.67,50.0,50.0,70.5,82.5,136.25,150.0,250.0
34,International District,76.73,40.0,40.0,68.0,79.5,91.5,120.0,130.0
35,Laurelhurst,74.8,55.0,55.0,60.0,60.0,99.0,100.0,100.0
36,Lawton Park,54.45,30.0,30.0,47.0,59.5,77.25,78.0,178.0
37,Leschi,71.41,39.0,39.0,56.0,66.0,83.0,120.0,120.0
38,Lower Queen Anne,104.1,38.0,38.0,90.0,105.0,128.75,175.0,240.0
39,Loyal Heights,73.03,38.0,38.0,55.0,75.0,90.0,130.0,150.0
40,Madison Park,92.67,30.0,30.0,75.0,95.0,125.0,150.0,200.0
41,Madrona,87.14,50.0,50.0,76.0,85.0,111.0,135.0,200.0
42,Mann,84.91,45.0,45.0,65.0,86.5,96.0,140.0,175.0
43,Maple Leaf,70.35,30.0,30.0,52.0,62.0,87.5,130.0,130.0
44,Matthews Beach,63.4,43.0,43.0,57.75,66.5,81.75,87.0,130.0
45,Meadowbrook,64.14,47.0,47.0,52.5,60.0,74.0,89.0,89.0
46,Mid-Beacon Hill,64.38,35.0,35.0,45.0,58.0,80.0,130.0,130.0
47,Minor,86.47,37.0,37.0,70.0,83.5,105.0,156.0,200.0
48,Montlake,87.67,55.0,55.0,62.5,94.5,113.75,125.0,200.0
49,Mount Baker,74.22,39.0,39.0,54.75,77.5,89.25,125.0,125.0
50,North Admiral,87.29,45.0,54.0,79.0,90.0,101.0,120.0,299.0
51,North Beach/Blue Ridge,82.0,49.0,75.0,75.0,80.0,90.0,95.0,150.0
